rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
18654450,-102, 11.0.0.24       , 2016-01-27 19:52:53.47453  ,178
18654428,-92, 11.0.0.24       , 2016-01-27 19:52:45.126544 ,178
18654397,0, 11.0.0.24       , 2016-01-27 19:52:37.264779 ,178
18654299,0, 11.0.0.24       , 2016-01-27 19:51:59.729995 ,178
18654298,0, 11.0.0.23       , 2016-01-27 19:51:59.63807  ,178
18654215,-70, 11.0.0.24       , 2016-01-27 19:51:27.052346 ,178
18654214,-39, 11.0.0.23       , 2016-01-27 19:51:27.052061 ,178
18654197,0, 11.0.0.24       , 2016-01-27 19:51:21.291372 ,178
18653791,-96, 11.0.0.24       , 2016-01-27 19:48:33.427325 ,178
18653769,-121, 11.0.0.24       , 2016-01-27 19:48:25.142452 ,178
18653741,-138, 11.0.0.24       , 2016-01-27 19:48:11.961482 ,178
18653704,-92, 11.0.0.24       , 2016-01-27 19:47:56.735893 ,178
18653689,-120, 11.0.0.24       , 2016-01-27 19:47:51.625394 ,178
18653672,-94, 11.0.0.24       , 2016-01-27 19:47:41.067627 ,178
18653661,-124, 11.0.0.24       , 2016-01-27 19:47:34.194571 ,178
18653648,-103, 11.0.0.24       , 2016-01-27 19:47:22.401334 ,178
18653630,-151, 11.0.0.24       , 2016-01-27 19:47:13.102678 ,178
18653602,-98, 11.0.0.24       , 2016-01-27 19:46:54.766799 ,178
18653592,-88, 11.0.0.24       , 2016-01-27 19:46:49.761118 ,178
18653584,-86, 11.0.0.24       , 2016-01-27 19:46:44.747686 ,178
18653577,-149, 11.0.0.24       , 2016-01-27 19:46:39.286572 ,178
18653541,-107, 11.0.0.24       , 2016-01-27 19:46:21.997856 ,178
18653525,-98, 11.0.0.24       , 2016-01-27 19:46:14.006312 ,178
18653521,-91, 11.0.0.24       , 2016-01-27 19:46:08.60378  ,178
18653513,-113, 11.0.0.24       , 2016-01-27 19:46:01.309651 ,178
18653497,-90, 11.0.0.24       , 2016-01-27 19:45:52.308833 ,178
