"rssilog_id","rssilog_rssi","rssilog_antenna","rssilog_timestamp2","session_sso"
18654450,-51,5,"8000",178
18654428,-46,5,"78000",178
18654215,-35,5,"0",178
18654214,-20,5,"174000",178
18653791,-48,5,"8000",178
18653769,-60,5,"14000",178
18653741,-69,5,"15000",178
18653704,-46,5,"5000",178
18653689,-60,5,"10000",178
18653672,-47,5,"7000",178
18653661,-62,5,"12000",178
18653648,-52,5,"9000",178
18653630,-76,5,"19000",178
18653602,-49,5,"5000",178
18653592,-44,5,"5000",178
18653584,-43,5,"5000",178
18653577,-74,5,"18000",178
18653541,-54,5,"7000",178
18653525,-49,5,"6000",178
18653521,-46,5,"7000",178
18653513,-56,5,"9000",178
18653497,-45,5,"5000",178
18653490,-60,5,"10000",178
18653468,-53,5,"8000",178
18653458,-62,5,"12000",178
18653441,-55,5,"10000",178
18653425,-52,5,"9000",178
18653408,-42,5,"5000",178
18653396,-42,5,"5000",178
18653386,-42,5,"5000",178
18653378,-46,5,"31000",178
18653324,-68,5,"73000",178
18653231,-54,5,"8000",178
18653223,-60,5,"10000",178
18653215,-69,5,"16000",178
18653197,-53,5,"8000",178
18653186,-46,5,"5000",178
18653180,-64,5,"12000",178
18653169,-25,5,"11000",178
18653158,-50,5,"39000",178
18653106,-49,5,"8000",178
18653093,-44,5,"5000",178
18653089,-34,5,"17000",178
18653061,-42,5,"5000",178
18653047,-60,5,"11000",178
18653016,-48,5,"5000",178
18653006,-46,5,"7000",178
18652996,-46,5,"5000",178
18652984,-48,5,"5000",178
18652976,-48,5,"5000",178
18652967,-46,5,"6000",178
18652954,-48,5,"5000",178
18652944,-48,5,"5000",178
18652924,-48,5,"5000",178
18652913,-66,5,"14000",178
18652874,-48,5,"31000",178
18652788,-62,5,"12000",178
18652755,-46,5,"9000",178
18652745,-42,5,"5000",178
18652735,-48,5,"5000",178
18652724,-48,5,"9000",178
18652693,-55,5,"41000",178
18652582,-50,5,"5000",178
18652566,-48,5,"5000",178
18652551,-52,5,"7000",178
18652536,-62,5,"11000",178
18652501,-29,5,"12000",178
18652472,-59,5,"9000",178
18652441,-65,5,"13000",178
18652400,-26,5,"11000",178
18652368,-43,5,"38000",178
18652256,-68,5,"14000",178
18652207,-51,5,"7000",178
18652186,-34,5,"14000",178
