"rssilog_mac","rssilog_rssi","rssilog_antenna","rssilog_serving","rssilog_timestamp","session_sso"
"13",-90,"11.0.0.13",false,"2015-09-18 01:00:37.266672",NA
"13",-102,"11.0.0.13",false,"2015-09-18 01:00:43.322256",NA
"13",-114,"11.0.0.13",false,"2015-09-18 01:00:49.940055",NA
"13",-65,"11.0.0.14",true,"2015-09-18 01:00:52.31997",NA
"13",-120,"11.0.0.14",true,"2015-09-18 01:01:01.063374",NA
"13",-118,"11.0.0.14",true,"2015-09-18 01:01:11.41301",NA
"13",-151,"11.0.0.13",false,"2015-09-18 01:01:23.266878",NA
"13",-125,"11.0.0.13",true,"2015-09-18 01:01:35.205872",NA
"13",-90,"11.0.0.14",true,"2015-09-18 01:01:39.177824",NA
"13",-90,"11.0.0.13",false,"2015-09-18 01:01:40.818322",NA
"13",-92,"11.0.0.14",true,"2015-09-18 01:01:44.200761",NA
"13",-89,"11.0.0.13",false,"2015-09-18 01:01:45.344564",NA
"13",-91,"11.0.0.14",false,"2015-09-18 01:01:49.716388",NA
"13",-93,"11.0.0.13",true,"2015-09-18 01:01:52.430267",NA
"13",-89,"11.0.0.14",false,"2015-09-18 01:01:54.50627",NA
"13",-116,"11.0.0.13",true,"2015-09-18 01:02:03.564024",NA
"13",-45,"11.0.0.17",false,"2015-09-18 01:04:09.438687",NA
